sqft,bedrooms,bathrooms,age,location,price
2570,3,2,11,Downtown Luxury,941867.9
797,4,3,19,Rural Outskirts,166203.8
2269,2,4,29,Urban Central,642475.26
3226,5,4,2,Downtown Luxury,1265208.2
3038,1,3,27,Downtown Luxury,1027969.1
1802,2,1,25,Rural Outskirts,251294.21
3201,5,1,29,Urban Central,870703.26
2071,2,1,12,Urban Central,547519.55
4171,4,2,12,Downtown Luxury,1471366.86
3686,4,2,1,Suburban Area,760461.14
2246,4,4,1,Downtown Luxury,938206.57
2292,1,1,25,Downtown Luxury,738561.74
1912,4,3,10,Downtown Luxury,772112.44
2635,5,4,7,Downtown Luxury,1063920.09
1077,2,3,21,Rural Outskirts,186861.89
1854,3,4,19,Urban Central,606574.82
1522,5,2,7,Rural Outskirts,241269.67
1019,5,4,28,Rural Outskirts,214133.31
2804,4,2,25,Rural Outskirts,385255.33
3197,1,4,29,Downtown Luxury,1130791.78
4112,2,1,16,Suburban Area,779882.57
1720,1,3,19,Urban Central,492179.08
3668,2,1,15,Suburban Area,680304.7
3644,2,4,6,Rural Outskirts,530916.97
4082,1,4,15,Rural Outskirts,547212.57
1550,5,4,26,Suburban Area,393564.74
2936,2,2,22,Suburban Area,563793.71
1877,1,3,23,Suburban Area,369326.99
2843,2,3,8,Rural Outskirts,398847.99
3245,3,4,34,Rural Outskirts,439308.45
2457,5,4,19,Urban Central,765609.93
4193,4,2,16,Urban Central,1144187.55
1116,2,1,30,Rural Outskirts,132080.48
2258,3,1,7,Suburban Area,451494.42
2465,4,3,14,Suburban Area,534575.01
3512,4,2,30,Urban Central,949662.33
1741,2,4,29,Rural Outskirts,270158.71
3453,1,3,19,Urban Central,920950.32
2532,2,2,11,Urban Central,715624.59
3830,3,1,16,Downtown Luxury,1305021.78
1414,4,2,29,Downtown Luxury,565239.09
2875,2,1,28,Downtown Luxury,975590.61
2500,1,2,18,Suburban Area,470757.08
2863,2,3,10,Rural Outskirts,401789.23
3595,5,1,33,Rural Outskirts,476895.09
4367,1,3,6,Rural Outskirts,598550.43
2662,3,3,33,Rural Outskirts,386603.64
3828,4,1,19,Downtown Luxury,1310198.3
4319,2,1,23,Suburban Area,796394.93
3932,1,4,9,Suburban Area,779328.87
3828,5,4,31,Downtown Luxury,1418329.31
2694,1,4,14,Suburban Area,570233.49
2971,5,3,19,Downtown Luxury,1123880.06
3491,3,3,2,Rural Outskirts,481147.59
4356,4,4,7,Downtown Luxury,1621150.82
729,3,3,22,Rural Outskirts,126381.54
4082,2,3,10,Rural Outskirts,558814.61
694,1,1,7,Urban Central,214572.37
3274,5,1,28,Downtown Luxury,1144264.74
3402,5,3,29,Urban Central,966963.36
2555,1,4,9,Downtown Luxury,952669.42
3963,1,2,27,Downtown Luxury,1277293.27
1393,2,4,12,Urban Central,473655.85
2434,3,2,31,Urban Central,659052.58
3954,5,4,25,Downtown Luxury,1482856.04
2716,2,1,21,Suburban Area,510456.34
2283,3,3,3,Rural Outskirts,341644.5
